#sn_name        z                zerr            bmag              bmagerr          s                serr            col               colerr              
sn2002cx        0.0239630        0.0000100       17.4729996        0.0230000        0.6060000        0.0060000        0.1590000        0.0160000
sn2002es        0.0179800        0.0000100       16.6070004        0.0750000        0.9040000        0.0080000        0.4210000        0.0140000
sn2002g        0.0337370        0.0000100       17.6889992        0.0190000        0.8620000        0.0250000        0.3610000        0.0190000
sn2002ha        0.0140460        0.0000100       14.7110004        0.0400000        0.8730000        0.0050000       -0.0920000        0.0100000
sn2003ai        0.0361770        0.0000100       17.3540001        0.2180000        1.0160000        0.0490000        0.0100000        0.0550000
sn2003cq        0.0332830        0.0000100       17.1770000        0.0290000        0.9140000        0.0230000        0.1440000        0.0210000
sn2003du        0.0063840        0.0000100       13.4740000        0.0070000        1.0220000        0.0040000       -0.1100000        0.0070000
sn2003ic        0.0556720        0.0000100       17.3530006        0.1330000        0.8590000        0.0230000       -0.1270000        0.0360000
sn2003kc        0.0331760        0.0000100       17.1569996        0.0480000        0.8970000        0.0330000        0.1480000        0.0240000
sn2003u        0.0283410        0.0000100       16.4939995        0.0260000        0.8200000        0.0140000        0.0160000        0.0200000
sn2003y        0.0169420        0.0000100       17.7119999        0.0220000        0.6470000        0.0060000        0.8530000        0.0130000
sn2004ap        0.0239400        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn2004as        0.0310210        0.0000100       16.9300003        0.0110000        0.9690000        0.0110000        0.0540000        0.0110000
sn2004bg        0.0210350        0.0000100       15.4580002        0.0160000        1.0200000        0.0190000       -0.0960000        0.0140000
sn2004bk        0.0231240        0.0000100       15.7819996        0.0280000        1.0570000        0.0170000        0.0070000        0.0140000
sn2004br        0.0231590        0.0000100       15.4490004        0.0120000        1.0710000        0.0150000       -0.0610000        0.0110000
sn2004dt        0.0197300        0.0000100              NaN              NaN        0.8700000        0.0170000              NaN              NaN
sn2004ey        0.0157860        0.0000100       14.7110004        0.0550000        1.0060000        0.0050000       -0.0990000        0.0180000
sn2004gs        0.0274250        0.0000100              NaN              NaN        0.7560000        0.0080000              NaN              NaN
sn2004gu        0.0458590        0.0000100       17.4169998        0.0140000        1.1500000        0.0100000        0.0950000        0.0240000
sn2004l        0.0323090        0.0000100       17.2040005        0.0490000        0.9700000        0.0240000        0.1270000        0.0280000
sn2005bc        0.0122720        0.0000100       16.2660007        0.0110000        0.8300000        0.0120000        0.3980000        0.0120000
sn2005be        0.0350000        0.0000100       16.7749996        0.0410000        0.8030000        0.0160000       -0.0420000        0.0340000
sn2005bg        0.0230860        0.0000100       15.7969999        0.0190000        1.0440000        0.0210000        0.0200000        0.0170000
sn2005bl        0.0240600        0.0000100       18.4039993        0.0440000        0.6010000        0.0040000        0.5070000        0.0300000
sn2005eq        0.0289770        0.0000100              NaN              NaN        1.1410000        0.0130000              NaN              NaN
sn2005ki        0.0192070        0.0000100              NaN              NaN        0.8610000        0.0060000              NaN              NaN
sn2005m        0.0246240        0.0000100              NaN              NaN        1.1100000        0.0060000              NaN              NaN
sn2005mc        0.0252210        0.0000100       17.1860008        0.0250000        0.7240000        0.0130000        0.3460000        0.0250000
sn2005ms        0.0252040        0.0000100       16.1140003        0.0200000        1.0319999        0.0110000       -0.0320000        0.0150000
sn2006ac        0.0231060        0.0000100       16.1919994        0.0160000        0.9130000        0.0100000        0.1240000        0.0110000
sn2006ak        0.0381000        0.0000100       17.2630005        0.0570000        0.8620000        0.0240000        0.1210000        0.0310000
sn2006al        0.0678490        0.0000100       18.4230003        0.0490000        0.8230000        0.0350000       -0.0470000        0.0230000
sn2006ar        0.0225380        0.0000100       16.4689999        0.0130000        0.9320000        0.0220000        0.1470000        0.0130000
sn2006az        0.0309350        0.0000100       16.4950008        0.0120000        0.8830000        0.0080000       -0.0290000        0.0100000
sn2006bb        0.0252270        0.0000100       16.3820000        0.1090000        0.7400000        0.0370000        0.0680000        0.0420000
sn2006bk        0.0495340        0.0000100       16.9860001        0.0480000        1.0970000        0.0190000        0.1810000        0.0260000
sn2006br        0.0245900        0.0000100       18.8939991        0.0290000        0.8800000        0.0280000        0.7950000        0.0320000
sn2006bt        0.0321560        0.0000100       16.9319992        0.0220000        1.0050000        0.0100000        0.1200000        0.0250000
sn2006bz        0.0279060        0.0000100       18.2800007        0.0170000        0.5220000        0.0080000        0.6740000        0.0140000
sn2006cc        0.0325290        0.0000100       17.8020000        0.0110000        1.0380000        0.0090000        0.3740000        0.0080000
sn2006cf        0.0415520        0.0000100       16.7579994        0.0920000        1.1020000        0.0330000       -0.2180000        0.0320000
sn2006cg        0.0280630        0.0000100       16.4519997        0.0680000        0.7760000        0.0230000        0.2020000        0.0310000
sn2006cj        0.0675170        0.0000100       18.1030006        0.0390000        1.3130000        0.1010000       -0.0970000        0.0170000
sn2006cp        0.0222890        0.0000100       15.9150000        0.0170000        1.0190001        0.0080000        0.1410000        0.0290000
sn2006cq        0.0483370        0.0000100       17.5760002        0.0140000        1.0940000        0.0460000        0.0180000        0.0160000
sn2006cs        0.0236760        0.0000100       19.0909996        0.0580000        0.7040000        0.0740000        1.3920000        0.0390000
sn2006ct        0.0314630        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn2006e        0.0027220        0.0000100              NaN              NaN        1.6000000       -0.0000000              NaN              NaN
sn2006ef        0.0179020        0.0000100              NaN              NaN        0.8610000        0.0260000              NaN              NaN
sn2006ej        0.0204520        0.0000100              NaN              NaN        0.8270000        0.0150000              NaN              NaN
sn2006gr        0.0345970        0.0000100       16.9529991        0.0380000        1.0690000        0.0090000        0.1470000        0.0360000
sn2006gt        0.0447710        0.0000100       18.1970005        0.0180000        0.6740000        0.0140000        0.1580000        0.0300000
sn2006ha        0.0306540        0.0000100       19.4410000        0.0980000        0.9540000        0.0910000        1.0760000        0.0440000
sn2006je        0.0379960        0.0000100       19.5930004        0.0710000        0.7080000        0.0200000        1.4080000        0.1030000
sn2006or        0.0210130        0.0000100       17.8859997        0.0820000        0.9390000        0.0320000        0.6540000        0.0230000
sn2006s        0.0321020        0.0000100       16.8400002        0.0130000        1.0820000        0.0110000        0.0770000        0.0100000
sn2006sr        0.0241400        0.0000100       16.1130009        0.0400000        0.8690000        0.0200000        0.0030000        0.0150000
sn2006te        0.0315920        0.0000100       16.5100002        0.0370000        1.0050000        0.0240000       -0.0790000        0.0180000
sn2007af        0.0054640        0.0000100              NaN              NaN        0.9520000        0.0060000              NaN              NaN
sn2007ar        0.0529330        0.0000100       17.8169994        0.1950000        0.8210000        0.0470000        0.0080000        0.0640000
sn2007bc        0.0207700        0.0000100       15.8940001        0.0170000        0.8940000        0.0100000       -0.0010000        0.0210000
sn2007bz        0.0217780        0.0000100       16.6840000        0.0250000        1.1250000        0.0280000        0.1590000        0.0160000
sn2007ci        0.0181260        0.0000100       15.8800001        0.0150000        0.7730000        0.0060000       -0.6510000        0.0160000
sn2007cn        0.0253010        0.0000100              NaN              NaN        1.6000000        0.0000000              NaN              NaN
sn2007cs        0.0175590        0.0000100       17.6429996        0.0610000        1.4960001        0.0870000        1.0369999        0.0270000
sn2007f        0.0235910        0.0000100       15.8820000        0.0100000        1.0570000        0.0080000       -0.0320000        0.0100000
sn2007hu        0.0353910        0.0000100       17.9029999        0.0790000        0.7850000        0.0600000        0.3810000        0.0480000
sn2007hx        0.0800000        0.0000100       19.2399998        0.0220000        1.0330000        0.0210000        0.0660000        0.0210000
sn2007is        0.0296780        0.0000100       16.4459991        0.0320000        0.8340000        0.1290000        0.0700000        0.0290000
sn2007kd        0.0241770        0.0000100       15.7040005        0.1680000        1.2460001        0.0900000       -0.1250000        0.0570000
sn2007o        0.0362120        0.0000100       16.6889992        0.0450000        1.0110000        0.0180000        0.0830000        0.1270000
sn2007ob        0.0339270        0.0000100       17.3500004        0.0660000        0.9260000        0.0310000        0.3350000        0.0330000
sn2007r        0.0308800        0.0000100       16.7019997        0.0390000        0.8540000        0.0190000       -0.0190000        0.0180000
sn2007ss        0.0155270        0.0000100       16.2679996        0.0360000        0.8880000        0.0190000        0.3320000        0.0220000
sn2007su        0.0278620        0.0000100       16.8610001        0.0630000        1.0390000        0.0490000        0.2290000        0.0240000
sn2007ux        0.0309150        0.0000100       17.4260006        0.0820000        0.5930000        0.0180000              NaN              NaN
sn2008ac        0.0527880        0.0000100       17.7390003        0.0780000        0.9850000        0.0660000       -0.0430000        0.0410000
sn2008ad        0.0500000        0.0000100       17.6609993        0.8310000        0.7670000        0.3770000       -0.1070000        0.3610000
sn2008ae        0.0300000        0.0000100       18.5620003        0.0200000        0.7040000        0.0100000        0.4830000        0.0220000
sn2008af        0.0335070        0.0000100       16.7810001        0.0490000        0.8870000        0.0210000        0.0530000        0.0240000
sn2008ai        0.0352610        0.0000100       18.9410000        0.0960000        0.6910000        0.0710000        0.5480000        0.0440000
sn2008ar        0.0261470        0.0000100       16.2220001        0.0170000        1.0130000        0.0110000       -0.0340000        0.0120000
sn2008bf        0.0240300        0.0000100       15.6639996        0.0170000        1.0390000        0.0100000       -0.4410000        0.0130000
sn2008bz        0.0602780        0.0000100       17.9029999        0.0490000        0.9620000        0.0680000       -0.1120000        0.0290000
sn2008cl        0.0634340        0.0000100       18.1749992        0.0510000        0.7800000        0.0780000       -0.0250000        0.0600000
sn2008ds        0.0210310        0.0000100       15.1980000        0.0610000        1.1160001        0.0500000       -0.0800000        0.0320000
sn2008dt        0.0353910        0.0000100       18.1849995        0.1150000        1.0710000        0.0350000        0.8700000        0.4350000
sn2008hv        0.0125490        0.0000100       14.7320004        0.0210000        0.8760000        0.0050000       -0.1190000        0.0190000
sn2008y        0.0696890        0.0000100       18.4500008        0.0540000        0.9770000        0.0290000        0.0580000        0.0270000
sn2008z        0.0209900        0.0000100       16.4489994        0.0150000        1.1200000        0.0110000        0.1500000        0.0130000
sn2009an        0.0092330        0.0000100       14.4770002        0.0140000        0.8430000        0.0090000        0.0620000        0.0110000
sn2009bv        0.0366750        0.0000100       16.9060001        0.0150000        1.0530000        0.0190000       -0.0530000        0.0150000
sn2009dc        0.0213910        0.0000100       15.3509998        0.0300000        1.2990000        0.0070000       -0.5300000        0.0140000
sn2009do        0.2267000        0.0000100       16.8150005        0.0560000        1.3550000        0.0310000       -0.2930000        0.0190000
sn2009fv        0.0293000        0.0000100       17.1930008        0.0390000        0.8860000        0.0370000        0.4110000        0.0250000
sn2009gf        0.0185230        0.0000100       16.0930004        0.0160000        0.6510000        0.0130000        0.1560000        0.0160000
sn2009na        0.0209940        0.0000100       15.7799997        0.0190000        0.9800000        0.0170000       -0.0050000        0.0140000
sn2009nq        0.0157990        0.0000100       15.2240000        0.0610000        0.9180000        0.0510000        0.0510000        0.0170000
sn2009nr        0.0112240        0.0000100       13.9289999        0.0600000        1.1590000        0.0220000        0.1980000        0.0180000
sn2010a        0.0206980        0.0000100       15.8070002        0.0180000        1.0680000        0.0170000        0.1190000        0.0170000
sn2010ag        0.0337400        0.0000100       16.6529999        0.0200000        1.1220000        0.0270000        0.0480000        0.0160000
sn2010ai        0.0183690        0.0000100       16.0660000        0.0150000        0.8550000        0.0070000        0.0050000        0.0120000
sn2010cr        0.0215700        0.0000100       15.6709995        0.2290000        1.0850000        0.0550000       -0.2790000        0.0570000
sn2010y        0.0108600        0.0000100       15.0270004        0.0120000        0.7570000        0.0060000       -0.1420000        0.0100000
sn2011gf        0.0276600        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn2011hr        0.0132790        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn2012cg        0.0014580        0.0000100       12.1140003        0.0110000        1.0599999        0.0070000        0.1720000        0.0100000
sn2013bh        0.0744570        0.0000100       18.4120007        0.0320000        0.9020000        0.0170000       -0.1330000        0.0550000
